timestamp,message
1778188899148,"{""level"":""INFO"",""location"":""write_result:165"",""message"":""Successfully updated results for identifier=ATG, sort_key=CDR-NSS3.4.2 - App01#[{'type': 'akamai', 'criteria': ['akamai']}]"",""timestamp"":""2026-05-07 21:21:39,148+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899148,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: write_result [7.38ms] (status=success)"",""timestamp"":""2026-05-07 21:21:39,148+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899148,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""■ STOP: handler [N/Ams] (final_status=PASS, result_size=750)"",""timestamp"":""2026-05-07 21:21:39,148+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd025d-d30723c786113cd25b27a3a0""}
"
1778188899150,"END RequestId: 8309ae81-edac-59d2-817d-ccf6e922606f
"
1778188899150,"REPORT RequestId: 8309ae81-edac-59d2-817d-ccf6e922606f	Duration: 5328.43 ms	Billed Duration: 5329 ms	Memory Size: 2048 MB	Max Memory Used: 105 MB	
"
1778188899604,"START RequestId: 242042ba-ab84-50f2-886f-20cdaf1fe61f Version: $LATEST
"
1778188899605,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""► START: handler (request_id=local)"",""timestamp"":""2026-05-07 21:21:39,605+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188899605,"{""level"":""INFO"",""location"":""extract_lambda_input:32"",""message"":""Parsed SQS message body"",""timestamp"":""2026-05-07 21:21:39,605+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188899605,"{""level"":""INFO"",""location"":""extract_lambda_input:68"",""message"":""Input extracted — identifier='EMF', control='CDR-NSS3.4.2 - App01', validator type='akamai'"",""timestamp"":""2026-05-07 21:21:39,605+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188899605,"{""level"":""INFO"",""location"":""handler:46"",""message"":""Processing validation for EMF - CDR-NSS3.4.2 - App01"",""timestamp"":""2026-05-07 21:21:39,605+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188899605,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: get_akamai_onboarding_compliance (appci=EMF)"",""timestamp"":""2026-05-07 21:21:39,605+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904731,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:73"",""message"":""Athena query for akamai validator (id=5b701b7d-0773-49e2-90f5-a5ef0aa72ee4) executed successfully"",""timestamp"":""2026-05-07 21:21:44,730+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904871,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:142"",""message"":""Akamai onboarding & coverage compliance for EMF: FAIL"",""timestamp"":""2026-05-07 21:21:44,870+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904871,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: get_akamai_onboarding_compliance [5265.29ms] (record_count=0)"",""timestamp"":""2026-05-07 21:21:44,871+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904871,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: validate_akamai (validator_type=akamai)"",""timestamp"":""2026-05-07 21:21:44,871+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904871,"{""level"":""INFO"",""location"":""validate_akamai:29"",""message"":""Akamai validation FAILED — criteria not met"",""timestamp"":""2026-05-07 21:21:44,871+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904871,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: validate_akamai [0.19ms] (validation_result=FAIL)"",""timestamp"":""2026-05-07 21:21:44,871+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904871,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: build_result (identifier=EMF)"",""timestamp"":""2026-05-07 21:21:44,871+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904871,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: build_result [0.1ms] (result_size=750)"",""timestamp"":""2026-05-07 21:21:44,871+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904871,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: write_result (identifier=EMF)"",""timestamp"":""2026-05-07 21:21:44,871+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904878,"{""level"":""INFO"",""location"":""write_result:165"",""message"":""Successfully updated results for identifier=EMF, sort_key=CDR-NSS3.4.2 - App01#[{'type': 'akamai', 'criteria': ['akamai']}]"",""timestamp"":""2026-05-07 21:21:44,878+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904878,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: write_result [7.04ms] (status=success)"",""timestamp"":""2026-05-07 21:21:44,878+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904878,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""■ STOP: handler [N/Ams] (final_status=PASS, result_size=750)"",""timestamp"":""2026-05-07 21:21:44,878+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0263-c18a0d53286875e7999b7250""}
"
1778188904880,"END RequestId: 242042ba-ab84-50f2-886f-20cdaf1fe61f
"
